Product_ID,Batch_Number,Production_Date,Shift,Inspector_Name,Defect_Type,Pass_Fail,Dimension (mm),Tolerance (mm),Production_Time (mins),Temperature (°C),Pressure (bar),Machine_ID,Material_Used (kg),Energy_Consumption (kWh),Quality_Score (%),Defect_Rate (%),Compliance_Flag,Machine_Downtime (mins),Scrap_Cost (USD),Inspection_Time (mins),Cycle_Time (s),Line_Number
66048763,BN-8115,08-01-2022,Evening,Ruth Avery,Crack,Pass,117.77,0.73,83,28.48,7.48,MID-5351,0.45,217.98,94.55,7.17,Non-Compliant,35,68.34,12,37,5
47593824,BN-8570,08-01-2022,Night,Caleb Romero,No_Defect,Fail,191.96,0.26,80,49.04,7.77,MID-5655,27.34,383.12,67.79,3.32,Non-Compliant,8,380.98,15,252,1
42194897,BN-3282,08-01-2022,Night,Sherry Smith,Other,Fail,164.35,0.77,11,20.12,2.9,MID-9561,13.65,306.02,87.9,9.08,Non-Compliant,36,283.7,12,93,1
24115780,BN-7240,08-01-2022,Night,Chad Mccormick,Other,Pass,27.74,0.13,114,57.63,2.49,MID-1712,36.63,497.97,62.14,4.7,Non-Compliant,1,282.77,1,255,5
15659385,BN-7023,08-01-2022,Evening,Elizabeth Jones,Other,Fail,56.73,0.62,119,93.58,5.68,MID-6131,9.22,338.19,72.75,8.51,Compliant,27,139.66,2,116,1
77840806,BN-7072,08-01-2022,Night,Roy Rowe,Discoloration,Fail,197.82,0.75,55,97.2,8.78,MID-0620,44.06,429.73,72.58,5.47,Non-Compliant,11,14.31,12,212,4
16097537,BN-2106,08-01-2022,Morning,Dillon Smith,Crack,Pass,199.46,0.4,116,28.44,3.84,MID-2874,12.99,284.58,75.52,0.06,Non-Compliant,8,340.68,15,75,5
51393328,BN-4670,08-01-2022,Morning,Carolyn Stevens,Crack,Fail,51.84,0.98,33,80.86,5.21,MID-9861,47.89,204.92,72.33,3.56,Non-Compliant,57,307.4,12,280,3
87115871,BN-8459,08-01-2022,Evening,Cynthia Morrow,Size Variation,Fail,40.51,0.81,59,84.5,8.36,MID-2020,38.99,231.8,79.51,4.17,Non-Compliant,35,17.19,6,95,1
14841859,BN-7026,08-01-2022,Morning,Daniel Hartman,Crack,Fail,65.59,0.61,24,70.74,7.61,MID-6338,43.15,234.56,77.08,0.74,Non-Compliant,17,138.83,2,141,2
83989476,BN-3180,09-01-2022,Evening,April Ramirez,Other,Pass,170.83,0.27,84,53.57,1.71,MID-4232,32.93,190.76,98.3,7.35,Compliant,12,254.41,8,270,2
19659343,BN-8307,09-01-2022,Morning,Erin Hawkins,Crack,Pass,26.88,0.84,88,60.71,6.98,MID-0565,38.92,349.04,79.85,4.15,Non-Compliant,33,236.91,5,45,1
23209473,BN-5961,09-01-2022,Morning,Christine Mendoza,Crack,Fail,62.44,0.7,15,82.08,6.26,MID-3951,24.29,442.09,73.65,6.28,Compliant,24,22.95,12,175,4
11220183,BN-3564,09-01-2022,Evening,Alexis Martinez,Discoloration,Fail,151.37,0.28,25,91.69,1.4,MID-7534,9.12,141.3,71.84,4.44,Non-Compliant,22,395.19,14,264,1
68483395,BN-0636,09-01-2022,Morning,Heather Thompson,Crack,Fail,48.99,0.63,113,67.01,9.66,MID-3243,27.87,146.65,98.3,5.95,Non-Compliant,19,404.32,14,118,1
69477515,BN-0313,09-01-2022,Night,Whitney Robinson,Crack,Pass,34.63,0.55,117,22.25,1.75,MID-8541,42.23,268.83,72.21,8.79,Non-Compliant,60,231.23,12,107,4
59179535,BN-0243,09-01-2022,Night,Lance Brown,No_Defect,Pass,59.2,0.72,34,93.94,9.3,MID-9136,32.28,464.36,82.18,1.74,Compliant,0,99.47,15,172,2
30413528,BN-3685,09-01-2022,Morning,Xavier Andrade,Discoloration,Fail,183.62,0.38,56,70.45,3.42,MID-3312,25.77,162.73,83.77,9.53,Non-Compliant,1,247.97,2,284,5
56012309,BN-1709,09-01-2022,Evening,Michael Johnson,No_Defect,Pass,132.2,0.7,40,22.41,7.31,MID-1104,19.91,299.51,80.78,3.51,Non-Compliant,10,391.79,10,164,5
98910137,BN-4344,10-01-2022,Morning,Russell Miller,Size Variation,Pass,110.99,0.79,103,65.17,5.72,MID-7754,29.56,445.29,75.67,4.74,Compliant,59,334.63,13,120,5
99161514,BN-2699,10-01-2022,Evening,Ruben Harris,Crack,Pass,170.48,0.95,95,63.29,6.05,MID-4571,42.12,170.27,72.75,5.94,Non-Compliant,47,56.61,11,145,2
9032170,BN-9432,10-01-2022,Night,Anna Hall,Discoloration,Fail,16.49,0.48,67,72.89,5.46,MID-1866,7.52,422.18,84.74,5.85,Compliant,28,6.56,4,120,1
30086913,BN-7181,10-01-2022,Morning,Gary Lloyd,Discoloration,Pass,97.84,0.89,75,91.79,9.93,MID-3430,4.27,459.17,82.91,1.98,Non-Compliant,45,77.37,4,120,2
41314562,BN-0923,10-01-2022,Evening,Jeffrey Jones,No_Defect,Fail,142.14,0.62,104,70.3,3.49,MID-2335,32.83,471.16,64.51,6.62,Compliant,5,298.83,2,110,5
20870911,BN-3571,10-01-2022,Morning,Adam Paul,Discoloration,Pass,63.9,0.97,88,70.43,7.59,MID-4607,27.22,453.9,69.51,5.15,Compliant,49,384.12,5,135,2
63457926,BN-0224,10-01-2022,Evening,Joseph Shah,Crack,Fail,154.34,0.57,96,82.45,2.78,MID-0629,15.36,51.79,79.98,4.7,Non-Compliant,25,66.97,6,213,1
30225848,BN-1396,10-01-2022,Night,Sue Ramirez,Size Variation,Pass,40.27,0.48,70,70.39,2.16,MID-2992,32.26,34.76,93.46,4.34,Compliant,24,279.04,1,289,3
19720760,BN-4139,10-01-2022,Evening,Joshua Davis,Other,Pass,51.08,0.51,94,34.92,8.77,MID-7420,32.82,24.13,86.95,8.77,Non-Compliant,9,216.04,11,299,5
98456420,BN-3422,10-01-2022,Night,Joshua Flores,Crack,Pass,169.26,0.15,45,66.54,8.57,MID-1332,21.8,362.72,96.26,8.11,Compliant,30,146.65,4,240,2
80715085,BN-3416,11-01-2022,Morning,Teresa Young,Other,Fail,74.19,0.23,106,66.32,4.15,MID-6528,47.41,48.3,74.44,1.78,Compliant,15,337.47,3,289,3
42375944,BN-0131,11-01-2022,Evening,Elaine Hudson,No_Defect,Fail,187.08,0.16,96,52.78,8.67,MID-1721,46.44,58.64,62.27,0.91,Non-Compliant,19,493.08,10,30,4
59924661,BN-7421,11-01-2022,Morning,Rose Patton,Discoloration,Pass,171.77,0.94,104,64.52,5.49,MID-7941,23.34,361.83,85.28,4.06,Non-Compliant,4,127.01,12,285,5
10935231,BN-4531,11-01-2022,Morning,Casey Parker,Crack,Fail,71.31,0.35,39,30.12,4.41,MID-3455,34.64,51.57,85.76,7.46,Non-Compliant,13,19.58,15,145,5
37696061,BN-6744,11-01-2022,Night,Matthew Wells,Other,Pass,32.33,0.43,76,69.45,5.74,MID-3418,2.83,87.96,78.27,8.98,Non-Compliant,24,4.21,4,271,1
96027141,BN-3919,11-01-2022,Morning,Brian Wilson,Discoloration,Pass,75.66,0.54,23,28.96,5.56,MID-1731,18.53,62.35,89.04,9.17,Non-Compliant,41,473.83,2,250,2
27878903,BN-3036,11-01-2022,Night,Joseph Hill,No_Defect,Pass,39.92,0.89,73,89.2,4.69,MID-7079,17.43,93.26,82.15,6.75,Non-Compliant,28,300.25,9,47,4
7547065,BN-6999,11-01-2022,Morning,Nicole Randall,Discoloration,Pass,84.42,0.12,110,86.7,3.96,MID-3917,49.42,207.98,97.19,0.96,Compliant,17,184.74,15,221,4
38120664,BN-9930,11-01-2022,Morning,Vincent Huff,Discoloration,Pass,198.83,0.65,100,68.45,4.78,MID-1754,25.59,1.78,89.84,5.1,Non-Compliant,39,328.7,11,156,1
50300891,BN-5291,11-01-2022,Evening,Elizabeth Melton,Size Variation,Pass,72.16,0.89,78,58.26,7.5,MID-5497,37.23,480.19,98.59,1.67,Non-Compliant,16,227.27,12,269,4
13193447,BN-7974,12-01-2022,Night,Brandy Gallegos,No_Defect,Pass,181.8,0.93,42,44.47,3.89,MID-9287,16.26,229.83,74.31,1.99,Non-Compliant,50,21.11,4,257,4
21761041,BN-2398,12-01-2022,Morning,Rebecca Hale,Discoloration,Fail,108.66,0.74,31,77.72,8.59,MID-7459,21.81,425.91,67.47,0.08,Compliant,48,164.21,7,284,2
71428512,BN-8041,12-01-2022,Evening,Cassandra Keller,Other,Pass,154.92,0.43,116,42.91,2.15,MID-4802,16.47,390.95,93.96,1.49,Compliant,40,57.99,14,175,4
24000345,BN-2785,12-01-2022,Night,Jennifer Owens,No_Defect,Pass,46.92,0.73,10,49.45,7.42,MID-2713,22.2,321.75,91.44,6.77,Non-Compliant,60,228.5,1,232,5
85590977,BN-6536,12-01-2022,Evening,Christopher Massey,Crack,Fail,33.02,0.19,75,33.49,4.02,MID-8416,20.59,302.84,65.43,7.03,Non-Compliant,29,245.56,9,261,2
76582363,BN-4937,12-01-2022,Evening,Allen Mann,No_Defect,Pass,26.86,0.42,66,79.65,8.56,MID-6905,0.71,492.62,70.96,0.13,Compliant,51,62.72,8,52,3
94022452,BN-4514,12-01-2022,Night,Jose Neal,Discoloration,Fail,30.88,0.32,44,27.28,9.95,MID-9058,15.91,162.46,86.9,8.71,Non-Compliant,43,388.48,8,87,3
55159005,BN-1122,12-01-2022,Morning,Michael Hoover,Crack,Pass,37.63,0.69,70,86.77,5.72,MID-8110,21.2,175.45,79.61,3.16,Compliant,23,78.74,1,184,4
42294566,BN-4087,12-01-2022,Morning,Deborah Berry,Size Variation,Fail,99.84,0.36,106,36.51,3.41,MID-7202,30.18,293,95.39,4.77,Non-Compliant,36,282.92,6,169,4
82417307,BN-7039,12-01-2022,Morning,Michael Benson,Other,Fail,71.09,0.61,80,55.56,2.33,MID-4091,8.87,447.89,98.94,5.36,Compliant,51,266.27,1,271,4
42814658,BN-0646,12-01-2022,Morning,Daniel Wood,Crack,Pass,142.32,0.7,10,63.51,9.04,MID-0111,13.37,168.31,92.4,5.18,Compliant,8,0.73,1,65,3
46118776,BN-6069,12-01-2022,Night,Christie Douglas,Size Variation,Pass,58.88,0.61,84,81.97,8.32,MID-4555,8.85,222.76,95.81,5.04,Compliant,38,99.21,14,118,3
55171762,BN-2953,12-01-2022,Morning,Shawn Fowler,Size Variation,Pass,67.24,0.82,71,72.62,7.21,MID-6327,43.11,8,75.33,1.72,Compliant,54,397.05,1,209,2
4522966,BN-5944,13-01-2022,Evening,Jennifer Butler,Size Variation,Fail,112.42,0.37,104,76.62,9.54,MID-3149,34.87,310.31,83.08,3.3,Compliant,15,432.25,10,283,1
11133063,BN-3588,13-01-2022,Evening,Amanda Smith,Size Variation,Fail,131.83,0.65,83,46.22,6.97,MID-2341,23.49,233.39,99.03,7.15,Non-Compliant,15,391.31,7,205,4
